reward,duration,angle
3342.949105321248,20.0,2.19598028808579
3044.9757402094515,20.0,0.6270588639720066
1339.5630811738483,20.0,2.569299508195542
2345.578311786602,20.0,3.7350318365521784
1863.1639918103378,20.0,6.038248655941039
1811.2877075786866,20.0,2.8610507111106367
2244.477696470994,20.0,5.42816648735071
3568.9659512061285,20.0,4.568985382084283
1472.446909249114,20.0,3.5171069680516713
2703.105736228021,20.0,3.203134315285856
3081.56073340671,20.0,3.922415981710449
3155.023648867626,20.0,2.1157287631146477
2652.8384832328625,20.0,3.1470648462229263
1360.1137396305257,20.0,1.9715385158226708
2539.03051801312,20.0,4.430971039269918
1370.940174292635,20.0,1.8461137945051416
2954.6341146283507,20.0,2.2709969432323938
1514.4964498452466,20.0,1.2601390869039641
2706.3183478306373,20.0,4.889732650388353
2610.387110946092,20.0,5.176374570935603
2338.880523814837,20.0,3.7611320989325834
2130.8809533173003,20.0,3.6974681921319354
3155.023648867626,20.0,2.1394642454405575
3468.1196974524364,20.0,3.8671730754103852
1664.7324818302093,20.0,2.0178816906279775
2721.2516547992122,20.0,0.1767287055066727
3065.6511023812673,20.0,4.003698374340581
1543.693985003617,20.0,6.019768087838348
2204.9696815184384,20.0,4.391523863084259
3091.5487221684884,20.0,3.98941721083409
2121.945512353832,20.0,2.4833657408002168
3155.023648867626,20.0,2.133366847384377
1593.749896266973,20.0,1.442011889277666
1504.4661621235955,20.0,4.195302146081834
1637.5710319798227,20.0,1.3484806475281643
-3021.1567481916927,16.0,5.227533670377025
3590.525898245823,20.0,0.02089216141899778
1566.9659679529423,20.0,0.48642610628751726
2696.1188026988093,20.0,5.680699261034946
1621.361582128909,20.0,5.895945813948789
1966.8416025070667,20.0,0.940096080515071
1625.1313521733448,20.0,5.92103413798619
3612.8620240164587,20.0,0.759418657249399
3246.2454064847293,20.0,5.57670903619869
3210.9870601806647,20.0,2.213520116670554
1206.157107915589,20.0,1.8362081337057814
1514.6759686183009,20.0,4.765229654279699
1394.2516508814722,20.0,3.54628194608748
-2839.944606830075,13.2,0.7304849146150748
2180.673438287885,20.0,5.152387781697359
3233.689015414674,20.0,1.5945736394394887
1644.08132156501,20.0,4.201748889881403
1478.0229736120018,20.0,2.5413047752627036
2879.518791541854,20.0,5.2694958345839495
2881.674893653338,20.0,0.2871453944077515
2717.4985430418947,20.0,0.1723392335238689
1475.7499096267995,20.0,2.554829855787163
3133.990785522321,20.0,0.7246858492190675
2845.7270058866675,20.0,2.1705170286570867
1470.1851038966215,20.0,1.351728504766191
1452.9622671131513,20.0,4.213709646000258
3575.7870231232973,20.0,5.535079225738267
